KEYCONDBOTH,/ual/set_velocity_prime,{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"airframe_clearance"}]}|{"N":"<bincomp>"|"C":[{"N":".GREATER_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_right_wing_base"}]}]}]}]},{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_right_wing_base"}]}|{"N":"<bincomp>"|"C":[{"N":".LESS_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<int>"|"C":[{"N":"1"}]}]}]}]},,twist.linear,JSONPointChange,RANDOMOFFSET|0.7291478782508409|0.8925126006584783|-0.7712583344502546|935465968
KEYCONDBOTH,/ual/set_velocity_prime,{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_right_wing_base"}]}|{"N":"<bincomp>"|"C":[{"N":".GREATER_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<int>"|"C":[{"N":"17"}]}]}]}]},{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_right_wing_base"}]}|{"N":"<bincomp>"|"C":[{"N":".LESS_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<int>"|"C":[{"N":"17"}]}]}]}]},uav_1|uav_2,twist.linear,JSONPointChange,RANDOMOFFSET|0.5488850265069225|-0.7145337924120252|0.802574772840486|555338940
KEYCONDBOTH,/ual/set_velocity_prime,{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_right_wing_base"}]}|{"N":"<bincomp>"|"C":[{"N":".GREATER_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<int>"|"C":[{"N":"17"}]}]}]}]},{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_right_wing_base"}]}|{"N":"<bincomp>"|"C":[{"N":".LESS_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<int>"|"C":[{"N":"17"}]}]}]}]},uav_1|uav_2,twist.linear,JSONPointChange,FIXED|-0.18092836463327022|-0.6573678032084471|0.8332193671138497
