KEY,calibration_points.yaml,449.5893752919594,514.4191729951649,uav_2,frameB_4,JSONPointChange,FIXEDOFFSET|-0.9320636992423124|-1.2316935388550632|-0.3012796832396428|649897675
KEY,/ual/set_velocity_prime,173.57347915655123,263.64736813528054,uav_2,twist.linear,JSONPointChange,FIXED|-0.9850658014548641|-0.35337211830555315|0.5860413527937813
KEY,/ual/set_velocity_prime,76.67126529402442,133.76418650904267,uav_2,twist.linear,JSONPointChange,RANDOMOFFSET|-0.8432718617044166|-0.3762568928473651|-0.43592374574707393|486478162
