KEY,calibration_points.yaml,327.19377781294355,492.60980883160806,uav_2,frameB_4,JSONPointChange,FIXEDOFFSET|-0.989467591300746|-0.5751488348629534|0.276503088564637|813542081
KEY,/ual/set_velocity_prime,477.6141049219734,514.4783876786844,,twist.linear,JSONPointChange,FIXED|-0.9850658014548641|-0.35337211830555315|0.5860413527937813
KEY,/ual/set_velocity_prime,438.2399685850319,515.2652371653588,,twist.linear,JSONPointChange,RANDOMOFFSET|0.042247973131791294|0.8968779760781904|-0.9149461909556482|282825884
