KEY,calibration_points.yaml,23.65634486178943,173.18720057921328,uav_2,frameB_4,JSONPointChange,FIXEDOFFSET|-0.8756668979050577|1.1866850425263546|0.09303357956627656|268833094
KEY,/ual/set_velocity_prime,45.401965900504564,103.64818214448104,,twist.linear,JSONPointChange,FIXED|0.6161279160622755|0.24816682084684594|-0.004604223513075878
KEY,/ual/set_velocity_prime,187.95472876152283,245.5704544256468,uav_1|uav_2,twist.linear,JSONPointChange,RANDOMOFFSET|-0.2832507979908523|-0.16595827952457864|0.7454272331098764|698438095
