KEY,calibration_points.yaml,8.163952813326311,571.4094324514042,uav_2,frameB_4,JSONPointChange,FIXEDOFFSET|2.8009646456348696|-1.075225921611973|0.48876810147342586|272019891
KEY,/ual/set_velocity_prime,262.4122354979941,286.69742725326296,uav_1,twist.linear,JSONPointChange,FIXED|-0.9850658014548641|-0.35337211830555315|0.5860413527937813
KEY,/ual/set_velocity_prime,396.29769960137145,572.4306208681625,uav_2,twist.linear,JSONPointChange,RANDOMOFFSET|0.6026839920205693|0.4501306178067366|-0.6566841202901115|398023604
