KEY,calibration_points.yaml,81.00462044761208,259.5316872555328,uav_1|uav_2,frameB_4,JSONPointChange,FIXEDOFFSET|0.22676702233954416|2.895237210528637|-0.06768718263250972|1061761383
KEY,/ual/set_velocity_prime,256.21527563475433,339.0961274776545,,twist.linear,JSONPointChange,FIXED|-0.9850658014548641|-0.35337211830555315|0.5860413527937813
KEY,/ual/set_velocity_prime,447.85082568884735,532.2931421738394,uav_1|uav_2,twist.linear,JSONPointChange,RANDOMOFFSET|-0.28389952292837917|0.4851240972442894|0.8579101094261399|23699360
