KEYCONDBOTH,/ual/set_velocity_prime,{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"interrobot_distance"}]}|{"N":"<bincomp>"|"C":[{"N":".LESS_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_nose"}]}]}]}]},{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_left_wing_base"}]}|{"N":"<bincomp>"|"C":[{"N":".LESS_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<int>"|"C":[{"N":"14"}]}]}]}]},uav_1,twist.linear,JSONPointChange,FIXED|0.1657497223168818|-0.699868234224889|0.5980964291569997
KEYCONDBOTH,calibration_points.yaml,{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_left_wing_base"}]}|{"N":"<bincomp>"|"C":[{"N":".GREATER_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<var>"|"C":[{"N":"starting_point_distance"}]}]}]}]},{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"starting_point_distance"}]}|{"N":"<bincomp>"|"C":[{"N":".GREATER_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<int>"|"C":[{"N":"8"}]}]}]}]},uav_2,frameB_1,JSONPointChange,FIXEDOFFSET|-2.995816148620606|-0.5766477919999549|0.07829029185479386|622631992
KEYCONDBOTH,calibration_points.yaml,{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"airframe_clearance"}]}|{"N":"<bincomp>"|"C":[{"N":".LESS_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_left_wing_base"}]}]}]}]},{"N":"<compcond>"|"C":[{"N":"<basic_cond>"|"C":[{"N":"<var>"|"C":[{"N":"starting_point_distance"}]}|{"N":"<bincomp>"|"C":[{"N":".LESS_THAN"}]}|{"N":"<expr>"|"C":[{"N":"<var>"|"C":[{"N":"distance_to_left_wing_base"}]}]}]}]},uav_2,frameB_0,JSONPointChange,FIXEDOFFSET|-2.148579916356162|-0.3031284018140412|-0.3181832773910608|359459088
