KEY,calibration_points.yaml,185.5480521215766,338.6422705672935,,frameB_0,JSONPointChange,FIXEDOFFSET|-2.5166304384907487|-1.212448680912608|-0.2747586659947865|976455031
KEY,/ual/set_velocity_prime,230.10577147076754,454.19509947414093,uav_1,twist.linear,JSONPointChange,FIXED|0.7593055508963871|0.5890819770855691|0.7354887454103065
KEY,/ual/set_velocity_prime,6.551089010578945,492.68016116108157,uav_2,twist.linear,JSONPointChange,RANDOMOFFSET|-0.2686488236163478|-0.4550023022352472|0.9812695870909969|578102899
