KEY,calibration_points.yaml,11.139797913807294,339.4443992747228,uav_1,frameB_4,JSONPointChange,FIXEDOFFSET|-0.10155410554419753|-1.587385409628442|0.44157633769437576|467640432
KEY,/desired_path_prime,361.75871832524876,526.1940059333294,uav_2,poses,PathPointChanges,RANDOMOFFSET_MULTIPLE|2.7215529485216097|0.18132790706942736|1.3919067071798379|2|572576
KEY,/ual/set_velocity_prime,500.10845559696054,508.92177598687925,uav_2,twist.linear,JSONPointChange,FIXED|0.654652453726126|0.4090057056406917|0.6626772584420515
