KEY,calibration_points.yaml,264.0916461340023,445.58099937644823,,frameB_0,JSONPointChange,FIXEDOFFSET|-2.016798126465554|-2.9677559722354276|0.0983832448013865|523632384
KEY,/ual/set_velocity_prime,261.5366431208884,503.25341960168277,,twist.linear,JSONPointChange,FIXED|0.7593055508963871|0.5890819770855691|0.7354887454103065
KEY,/ual/set_velocity_prime,400.71157650762126,452.28132350354133,uav_2,twist.linear,JSONPointChange,FIXED|-0.07080623579922785|-0.21342981684450302|-0.03820227843016055
