KEY,calibration_points.yaml,291.7904252820053,323.20091746901437,uav_1|uav_2,frameB_1,JSONPointChange,FIXEDOFFSET|2.4956164890583468|-0.48883047130546897|-0.16137306388291606|1064403715
KEY,/ual/set_velocity_prime,3.141513145113545,293.44548867924703,uav_1|uav_2,twist.linear,JSONPointChange,FIXED|0.23097351143082245|0.3123284634528991|0.9426353357753865
KEY,/ual/set_velocity_prime,315.4157718966162,337.7727918549397,,twist.linear,JSONPointChange,FIXED|0.987098579719834|-0.35519697456515775|-0.5014714880580267
