KEY,calibration_points.yaml,379.703228903626,450.8658104363992,uav_2,frameB_0,JSONPointChange,FIXEDOFFSET|-1.7424165804834588|2.538925127825859|-0.17527451596629018|100465625
KEY,/desired_path_prime,28.909069159278964,144.3393564943605,uav_1|uav_2,poses,PathPointChanges,RANDOMOFFSET_MULTIPLE|0.24516050542822265|1.1146809225733092|0.7131716131808941|4|1070769384
KEY,/desired_path_prime,329.6961546017167,463.9096668702026,uav_1|uav_2,poses,PathPointChanges,RANDOMOFFSET_MULTIPLE|2.4375448007060685|0.27720553916742785|2.2153485223057876|9|282034499
