KEY,calibration_points.yaml,523.1206203915647,528.5347900691149,,frameB_0,JSONPointChange,FIXEDOFFSET|-2.016798126465554|-2.9677559722354276|0.0983832448013865|523632384
KEY,/ual/set_velocity_prime,230.10577147076754,454.19509947414093,,twist.linear,JSONPointChange,FIXED|0.7593055508963871|0.5890819770855691|0.7354887454103065
KEY,/ual/set_velocity_prime,134.49409290633537,149.25049887910959,uav_1,twist.linear,JSONPointChange,RANDOMOFFSET|-0.2686488236163478|-0.4550023022352472|0.9812695870909969|578102899
