KEY,/desired_path_prime,526.1622600222314,527.9270032676009,,poses,PathPointChanges,RANDOMOFFSET_MULTIPLE|1.3691090673964492|0.8988565759785923|0.17281970111741174|4|329267339
KEY,/ual/set_velocity_prime,443.3146275072853,494.9444477590871,uav_1|uav_2,twist.linear,JSONPointChange,RANDOMOFFSET|-0.9809866615951504|-0.43356229869707197|0.16275851650126127|17775522
KEY,/ual/set_velocity_prime,22.568366086364794,174.14312387571778,,twist.linear,JSONPointChange,RANDOMOFFSET|-0.5421696972880257|0.7694064581149598|0.22857907689623103|77834578
