KEY,/desired_path_prime,51.70176226263238,431.2076181538717,,poses,PathPointChanges,RANDOMOFFSET_MULTIPLE|1.4183315485923558|0.5744031026914741|0.9074915984264817|9|457163629
KEY,/ual/set_velocity_prime,194.31995749666228,269.97998020348393,uav_1,twist.linear,JSONPointChange,FIXED|0.7593055508963871|0.5890819770855691|0.7354887454103065
KEY,/ual/set_velocity_prime,528.6291846684821,529.272017934229,uav_1,twist.linear,JSONPointChange,RANDOMOFFSET|-0.2686488236163478|-0.4550023022352472|0.9812695870909969|578102899
